"id","longitude","latitude","a_weight","b_weight","type","dp_type"
"PID.4000222",-112.3090961,33.5817350998,1607.028,535.676023,"demand point",4
"PID.4000223",-112.059049,33.3687379999,1607.028,535.676023,"demand point",4
"PID.4000224",-111.9776297,33.47121824,1607.028,535.676023,"demand point",4
"PID.4000225",-112.303167,33.6150000002,1607.028,535.676023,"demand point",4
"PID.4000226",-112.008199999,33.4676000003,1607.028,535.676023,"demand point",4
"PID.4000227",-112.221345089,33.4787842884,1607.028,535.676023,"demand point",4
"PID.4000228",-112.12661513,33.4957847932,1607.028,535.676023,"demand point",4
"PID.4000229",-112.178091235,33.5258655139,1607.028,535.676023,"demand point",4
"PID.4000230",-112.069552479,33.4447456164,1607.028,535.676023,"demand point",4
"PID.4000231",-112.03058168,33.4581285529,1607.028,535.676023,"demand point",4
"PID.4000232",-112.129946554,33.6108210668,1607.028,535.676023,"demand point",4
"PID.4000233",-112.075346412,33.450898016,1607.028,535.676023,"demand point",4
"PID.4000234",-111.639831653,33.4140863797,1607.028,535.676023,"demand point",4
"PID.4000235",-112.16971989,33.5009026753,1607.028,535.676023,"demand point",4
"PID.4000236",-112.119016395,33.4530153374,1607.028,535.676023,"demand point",4
"PID.4000237",-111.973573981,33.3263974047,1607.028,535.676023,"demand point",4
"PID.4000238",-112.088104258,33.4460033303,1607.028,535.676023,"demand point",4
"PID.4000239",-112.040585199,33.459991534,1607.028,535.676023,"demand point",4
"PID.4000240",-112.086976263,33.4617238999,1607.028,535.676023,"demand point",4
"PID.4000241",-112.084761778,33.447097976,1607.028,535.676023,"demand point",4
"PID.4000242",-112.199417738,33.4860450643,1607.028,535.676023,"demand point",4
"PID.4000243",-111.85601292,33.4214090622,1607.028,535.676023,"demand point",4
"PID.4000244",-112.239391301,33.4666239509,1607.028,535.676023,"demand point",4
"PID.4000245",-112.121508769,33.484974953,1607.028,535.676023,"demand point",4
"PID.4000246",-111.629700022,33.4147966766,1607.028,535.676023,"demand point",4
"PID.4000247",-112.095678132,33.4949792832,1607.028,535.676023,"demand point",4
"PID.4000248",-111.875694872,33.3789768417,1607.028,535.676023,"demand point",4
"PID.4000249",-112.099579432,33.5386366515,1607.028,535.676023,"demand point",4
"PID.4000250",-111.804955252,33.4139146239,1607.028,535.676023,"demand point",4
"PID.4000251",-112.016455819,33.4577453767,1607.028,535.676023,"demand point",4
"PID.4000252",-111.802800113,33.3841698551,1607.028,535.676023,"demand point",4
"PID.4000253",-112.091898368,33.4517006371,1607.028,535.676023,"demand point",4
"PID.4000254",-112.154729644,33.494609551,1607.028,535.676023,"demand point",4
"PID.4000255",-112.238394468,33.6520649999,1607.028,535.676023,"demand point",4
"PID.4000256",-112.347186481,33.4301643436,1607.028,535.676023,"demand point",4
"PID.4000257",-112.358155631,33.5289166656,1607.028,535.676023,"demand point",4
"PID.4000258",-111.982877192,33.4079785533,1607.028,535.676023,"demand point",4
