OBJECTID,Name,FacilityTy,Weight,Capacity,DemandCoun,DemandWeig,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproa,Status,SnapX,SnapY,SnapZ,DistanceTo,Total_Leng,Total_Time,TotalWeigh,TotalWei_1,POINT_X,POINT_Y
22,FaID.0032,1,1.000000000000000,0.000000000000000,390,458009.327119999972638,1,24219,0.561890231687000,1,0,0,667178.928929000045173,891756.415235999971628,0.000000000000000,71.481994409099997,1203822.981119999894872,0.000000000000000,1398175017.380000114440918,0.000000000000000,-112.024288796999997,33.450684486599997
23,FaID.0033,1,1.000000000000000,0.000000000000000,100,101246.310920000003534,1,182685,0.630574992840000,2,0,0,679908.714747000019997,901721.727448999998160,0.000000000000000,33.272268550000000,333721.526364999997895,0.000000000000000,334264074.685999989509583,0.000000000000000,-111.982928407000003,33.478750038500003
24,FaID.0034,1,1.000000000000000,0.000000000000000,0,0.000000000000000,1,26126,0.789612873720000,2,0,0,677237.553746000048704,1001938.372620000038296,0.000000000000000,72.363317962400004,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-111.992264778999996,33.754464526000000
25,FaID.0035,1,1.000000000000000,0.000000000000000,305,221527.227799999993294,1,36429,0.752865485020000,2,0,0,636392.278725999989547,891799.213054000050761,0.000000000000000,24.509526110300001,946075.682174999965355,0.000000000000000,637061551.654000043869019,0.000000000000000,-112.125215600000004,33.451538850500000
26,FaID.0036,1,1.000000000000000,0.000000000000000,97,68037.385800000003655,1,255972,0.632195708872000,1,0,0,496414.423822999990080,863829.451386000029743,0.000000000000000,34.148162645900001,247039.006351999996696,0.000000000000000,147634512.319999992847443,0.000000000000000,-112.583189380999997,33.372827005600001
27,FaID.0037,1,1.000000000000000,0.000000000000000,176,88942.004079999998794,1,181367,0.663258544913000,2,0,0,640537.552834999980405,904370.706753000034951,0.000000000000000,72.270940670599998,600373.569448999944143,0.000000000000000,348717055.805000007152557,0.000000000000000,-112.112475106000005,33.485769626000000
28,FaID.0038,1,1.000000000000000,0.000000000000000,151,168206.557640000013635,1,39802,0.176160409939000,1,0,0,635490.206129000056535,905853.500846000039019,0.000000000000000,36.341588223899997,451526.399485000001732,0.000000000000000,467979897.885999977588654,0.000000000000000,-112.127997555999997,33.490169413200000
29,FaID.0039,1,1.000000000000000,0.000000000000000,68,55447.133000000001630,1,183969,0.887640053339000,2,0,0,653877.246011000010185,907499.052530999993905,0.000000000000000,24.265084723499999,218516.917110999987926,0.000000000000000,171438464.173000007867813,0.000000000000000,-112.068233820000003,33.494549715500000
30,FaID.0040,1,1.000000000000000,0.000000000000000,116,151060.632000000012340,1,76113,0.578584040450000,1,0,0,722295.330939000006765,836002.357628999976441,0.000000000000000,23.540171603600001,153468.277766000013798,0.000000000000000,198757010.948000013828278,0.000000000000000,-111.843454253999994,33.298116360300000
31,FaID.0041,1,1.000000000000000,0.000000000000000,16,21962.716000000000349,1,183301,0.134952796488000,1,0,0,652312.257196999969892,905730.672928999993019,0.000000000000000,43.782552974600002,55872.773400899997796,0.000000000000000,75944959.850199997425079,0.000000000000000,-112.073101244000000,33.489288788099998
32,FaID.0042,1,1.000000000000000,0.000000000000000,49,18219.517800000001444,1,23224,0.180276308126000,1,0,0,632341.664564999984577,865003.715764999971725,0.000000000000000,58.841915715500001,151391.243258000002243,0.000000000000000,31031722.965399999171495,0.000000000000000,-112.138313662000002,33.377120070499998
33,FaID.0043,1,1.000000000000000,0.000000000000000,63,77405.555359999998473,1,32193,0.280654327282000,1,0,0,698462.719186999951489,906559.048876999993809,0.000000000000000,60.863318352599997,177345.809483999997610,0.000000000000000,212455527.071999996900558,0.000000000000000,-111.921066095000000,33.492027565400001
34,FaID.0044,1,1.000000000000000,0.000000000000000,23,4.293640000000000,1,183297,0.312230631096000,2,0,0,653572.755657000001520,906876.447678999975324,0.000000000000000,40.999825079799997,84380.014026100005140,0.000000000000000,15752.061018399999739,0.000000000000000,-112.068965392999999,33.493207394899997
35,FaID.0045,1,1.000000000000000,0.000000000000000,0,0.000000000000000,1,18081,0.425060602317000,2,0,0,744576.629352999967523,812606.090515000047162,0.000000000000000,120.319637098000001,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-111.770902996000004,33.234835667500001
36,FaID.0046,1,1.000000000000000,0.000000000000000,158,106077.662320000003092,1,58304,0.819340592291000,2,0,0,628083.612224000040442,906446.903660999960266,0.000000000000000,43.835849536700003,471994.698794000025373,0.000000000000000,254452173.157999992370605,0.000000000000000,-112.152286388999997,33.491839212800002
37,FaID.0047,1,1.000000000000000,0.000000000000000,10,13391.899999999999636,1,21764,0.859772110812000,1,0,0,677733.658779000048526,838591.681439999956638,0.000000000000000,34.673730372000001,37354.989222600001085,0.000000000000000,50025428.017099998891354,0.000000000000000,-111.989557058000003,33.304922711700002
38,FaID.0048,1,1.000000000000000,0.000000000000000,104,49294.139519999996992,1,27675,0.522029617607000,2,0,0,623132.301810999982990,909701.429160000057891,0.000000000000000,93.154183561500005,388511.093491000006907,0.000000000000000,143400932.507999986410141,0.000000000000000,-112.169843881999995,33.500447804700002
39,FaID.0049,1,1.000000000000000,0.000000000000000,10,13124.061999999999898,1,211554,0.289985318803000,2,0,0,679597.253323000040837,947436.687901000026613,0.000000000000000,33.455191802599998,38367.144121899997117,0.000000000000000,50315359.575999997556210,0.000000000000000,-111.983692175000002,33.604688277699999
40,FaID.0050,1,1.000000000000000,0.000000000000000,186,197135.675160000013420,1,144882,0.850696806563000,2,0,0,620157.060275000054389,923476.552018000045791,0.000000000000000,18.774817751600001,224102.236076000001049,0.000000000000000,182804436.606999993324280,0.000000000000000,-112.178917799000004,33.538278063100002
41,FaID.0051,1,1.000000000000000,0.000000000000000,11,12856.224000000000160,1,40856,0.490676485300000,2,0,0,620348.753387999953702,965743.781338999979198,0.000000000000000,54.416782626900002,7750.762254270000085,0.000000000000000,10863368.550400000065565,0.000000000000000,-112.178445569999994,33.654931792299998
42,FaID.0052,1,1.000000000000000,0.000000000000000,184,158837.828039999993052,1,35485,0.526272254101000,2,0,0,646820.592345000011846,916738.875729999970645,0.000000000000000,38.834483024199997,684159.146549999946728,0.000000000000000,560285506.245000004768372,0.000000000000000,-112.091589329000001,33.519918050500003
43,FaID.0053,1,1.000000000000000,0.000000000000000,17,19284.522679999998218,1,193997,0.545776921478000,1,0,0,617535.557924999971874,938048.419938000035472,0.000000000000000,49.334188669699998,44809.764286400000856,0.000000000000000,48163274.444600000977516,0.000000000000000,-112.187434319999994,33.577861815299997
44,FaID.0054,1,1.000000000000000,0.000000000000000,37,16878.274320000000444,1,284263,1.000000000000000,1,0,0,616809.430445999954827,938308.739501000032760,0.000000000000000,66.420095280200002,105318.861751999997068,0.000000000000000,31955413.526099998503923,0.000000000000000,-112.189396775999995,33.579493102100002
45,FaID.0055,1,1.000000000000000,0.000000000000000,105,41260.679640000002109,1,147856,0.433698977019000,1,0,0,616563.200421000015922,929052.120126000023447,0.000000000000000,58.183522556600003,337540.509927999984939,0.000000000000000,112121307.217999994754791,0.000000000000000,-112.189932042999999,33.553577385300002
46,FaID.0057,1,1.000000000000000,0.000000000000000,37,24376.618239999999787,1,37563,0.539312510568000,1,0,0,602176.411349999951199,918728.603059999994002,0.000000000000000,163.905413256000003,121769.930676999996649,0.000000000000000,66473150.753399997949600,0.000000000000000,-112.235913241999995,33.525100994399999
47,FaID.0059,1,1.000000000000000,0.000000000000000,191,234360.676840000000084,1,161359,0.287056384745000,2,0,0,650890.423192000016570,893223.134361000033095,0.000000000000000,31.386988837800001,365022.354774000006728,0.000000000000000,410973971.343999981880188,0.000000000000000,-112.078035283000006,33.455301824499998
