OBJECTID,PointID,FIPS,parcelsamp,RPL_THEMES,RelativeRi,Relative_1,APN,DBT_BEGIN,BEGIN_DATE,FLOOR,ADDRESS,AREA,Shape_Leng,POINT_X,POINT_Y
1824,PID.0657865,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14814080,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8416 N 55TH DR,7875.000000000000000,360.000525632999995,-112.178725340000000,33.558987490200003
1825,PID.0989192,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14814017,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8438 N 56TH AVE,7658.000000000000000,352.913134621999973,-112.179577373000001,33.559887957500003
1826,PID.1034503,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14813085,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5206 W ECHO LN,8250.000000000000000,370.000580016000015,-112.171833035000006,33.559705342599997
1827,PID.0383556,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14820039,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5318 W ALICE AVE,7341.000000000000000,345.825317744000017,-112.174328837999994,33.564874437000000
1828,PID.0190122,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14819188,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5661 W TOWNLEY AVE,6560.000000000000000,331.832543841000017,-112.181522345999994,33.565436820000002
1829,PID.1027274,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14819065,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8916 N 55TH DR,7087.000000000000000,341.630244769000001,-112.178742995999997,33.566467214100001
1830,PID.0073335,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14819206,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5544 W GOLDEN LN,6644.000000000000000,332.887561860000005,-112.179559112000007,33.565302525500002
1831,PID.0686495,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14814084,2008-10-13 19:00:00,1999-06-29 19:00:00,1,8425 N 56TH DR,6900.000000000000000,350.001808400000016,-112.179930014999997,33.559961617600003
1832,PID.0679694,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14815030,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8205 N 57TH DR,11027.000000000000000,420.550257110000018,-112.182079356000003,33.555333754999999
1833,PID.0835213,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14816037,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5810 W NAVAJO DR,10204.000000000000000,407.241807683999980,-112.184561528000003,33.557757831300002
1834,PID.0596784,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14820396,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5214 W ORCHID LN,7365.000000000000000,347.058430018000024,-112.171856137999995,33.562732747299997
1835,PID.0321562,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14820118,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5402 W ALICE AVE,9032.000000000000000,374.748206446999973,-112.175497471000000,33.564861111200003
1836,PID.0659985,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14829071,2008-10-13 19:00:00,2004-03-21 18:00:00,1,8046 N 56TH AVE,7522.000000000000000,350.579943915999991,-112.179536241999998,33.554862206599999
1837,PID.0595958,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15422043,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4402 N 34TH DR,7232.000000000000000,336.755159472999992,-112.133571743999994,33.500571429399997
1838,PID.0514288,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15419066,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4432 N 27TH DR,7501.000000000000000,392.780603165999992,-112.118514090999994,33.501297357500000
1839,PID.0479384,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15425111,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4127 N 30TH AVE,6656.000000000000000,332.885683941000025,-112.122873560000002,33.496155264300000
1840,PID.0587392,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421122,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3231 W MONTECITO AVE,6448.000000000000000,326.394934508000006,-112.129140992000004,33.499109561600001
1841,PID.0457848,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15422173,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3316 W TURNEY AVE,6537.000000000000000,329.058003250000013,-112.130699512999996,33.500228603499998
1842,PID.0119539,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15421023,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3122 W SELLS DR,6630.000000000000000,331.805831866999995,-112.126930053999999,33.501653993399998
1843,PID.0935861,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15420020,2008-07-21 19:00:00,2036-02-07 00:28:16,1,2915 W MONTECITO AVE,6300.000000000000000,326.000589919999982,-112.122197318000005,33.499114984199998
1844,PID.0818896,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15420145,2008-07-21 19:00:00,2036-02-07 00:28:16,1,3006 W TURNEY AVE,6500.000000000000000,330.000227880000011,-112.123409933999994,33.500257815200001
1845,PID.0405829,04013109102,66.000000000000000,0.900900000000000,0.186680000000000,0.186680000000000,15423046,2008-07-21 19:00:00,2036-02-07 00:28:16,1,4232 N 33RD DR,7540.000000000000000,371.334255584999994,-112.130788166000002,33.498088801100003
