"id","longitude","latitude","address","type"
"FaID.0227",-111.918609431,33.4962011035,"4140 N MILLER RD SCOTTSDALE AZ 85251","candidate location"
"FaID.0228",-112.29018016,33.4673414813,"1825 N 107TH AVE AVONDALE AZ 85392","candidate location"
"FaID.0229",-111.645624403,33.4038616665,"602 S 87TH WAY MESA AZ 85208","candidate location"
"FaID.0230",-112.163495164,33.7082952247,"4806 W SAGUARO PARK LN GLENDALE AZ 85310","candidate location"
"FaID.0231",-111.810266727,33.4074032671,"947 E BROADWAY RD MESA AZ 85204","candidate location"
"FaID.0232",-111.958430543,33.4809266023,"5668 E ORANGE BLOSSOM LN PHOENIX AZ 85018","candidate location"
"FaID.0233",-111.609606481,33.2262846421,"21915 E CLOUD RD QUEEN CREEK AZ 85142","candidate location"
"FaID.0234",-112.488111216,33.3299725941,"12808 S TUTHILL RD BUCKEYE AZ 85326","candidate location"
"FaID.0235",-112.360683843,33.4937206982,"214 W WIGWAM BLVD LITCHFIELD PARK AZ 85340","candidate location"
"FaID.0236",-111.955682967,33.8273265216,"37622 N CAVE CREEK RD CAVE CREEK AZ 85331","candidate location"
"FaID.0237",-112.366190978,33.6281299484,"14264 W TIERRA BUENA LN SURPRISE AZ 85374","candidate location"
"FaID.0238",-112.0843357,33.4457377995,"813 W MADISON ST PHOENIX AZ 85007","candidate location"
"FaID.0239",-111.977086271,33.3576633276,"9807 S 48TH ST PHOENIX AZ 85044","candidate location"
"FaID.0240",-111.938968451,33.4250601585,"31 E 5TH ST TEMPE AZ 85281","candidate location"
"FaID.0241",-112.05539965,33.5247031811,"1212 E BETHANY HOME RD PHOENIX AZ 85014","candidate location"
"FaID.0242",-112.073403832,33.4997137353,"4331 N CENTRAL AVE PHOENIX AZ 85012","candidate location"
"FaID.0243",-112.051675157,33.8086952287,"35611 N 14TH ST PHOENIX AZ 85086","candidate location"
"FaID.0244",-112.093105866,33.3613075201,"1521 W DOBBINS RD PHOENIX AZ 85041","candidate location"
"FaID.0245",-112.325525498,33.6166597278,"14609 N 1ST AVE EL MIRAGE AZ 85335","candidate location"
"FaID.0246",-112.133389336,33.4611650109,"1165 N 35TH AVE PHOENIX AZ 85009","candidate location"
"FaID.0247",-112.106054832,33.5299571313,"2240 W CITRUS WAY PHOENIX AZ 85015","candidate location"
"FaID.0248",-112.174165689,33.6548430173,"5330 W UNION HILLS DR GLENDALE AZ 85308","candidate location"
"FaID.0249",-112.193569648,33.6410708086,"17201 N 63RD AVE GLENDALE AZ 85308","candidate location"
"FaID.0250",-112.063893107,33.3918572335,"717 E SOUTHERN AVE PHOENIX AZ 85040","candidate location"
"FaID.0251",-111.844859478,33.4458932306,"1718 N DATE MESA AZ 85201","candidate location"
"FaID.0252",-111.984990545,33.3217139148,"13822 S 46TH PL PHOENIX AZ 85044","candidate location"
"FaID.0253",-112.087619961,33.7143166947,"1114 W HAPPY VALLEY RD PHOENIX AZ 85085","candidate location"
"FaID.0254",-112.136436541,33.8467578567,"39905 N GAVILAN PEAK PKWY PHOENIX AZ 85086","candidate location"
"FaID.0255",-112.104964345,33.6267393526,"15441 N 22ND AVE PHOENIX AZ 85023","candidate location"
"FaID.0256",-111.924247099,33.7545025361,"7373 E DIXILETA DR SCOTTSDALE AZ 85266","candidate location"
"FaID.0257",-111.905005913,33.4992607584,"4300 N 82ND ST SCOTTSDALE AZ 85251","candidate location"
"FaID.0258",-111.785247953,33.3496367242,"201 E ELLIOT RD GILBERT AZ 85234","candidate location"
"FaID.0259",-112.345047955,33.43593792,"24 N 5TH ST AVONDALE AZ 85323","candidate location"
"FaID.0260",-111.675354676,33.3966482405,"1007 S 72ND ST MESA AZ 85208","candidate location"
"FaID.0261",-111.752543616,33.4656970701,"2759 N VAL VISTA DR MESA AZ 85213","candidate location"
"FaID.0262",-111.837632355,33.3958693286,"1041 S LEBARON MESA AZ 85210","candidate location"
"FaID.0263",-111.624312401,33.4252378977,"590 N 96TH ST MESA AZ 85207","candidate location"
"FaID.0264",-112.079502813,33.4264155523,"420 W WATKINS ST PHOENIX AZ 85003","candidate location"
"FaID.0265",-112.26699027,33.4689195343,"9520 W PALM LN PHOENIX AZ 85037","candidate location"
"FaID.0266",-112.076432236,33.4465907029,"205 W JEFFERSON ST PHOENIX AZ 85003","candidate location"
"FaID.0267",-111.94060576,33.349799204,"110 W ELLIOT RD TEMPE AZ 85283","candidate location"
"FaID.0268",-111.815077751,33.4339456627,"1020 N HORNE MESA AZ 85203","candidate location"
"FaID.0269",-112.082116911,33.3897080083,"6300 S 7TH AVE PHOENIX AZ 85041","candidate location"
"FaID.0270",-112.584015846,33.3708182395,"530 E MONROE AVE BUCKEYE AZ 85326","candidate location"
"FaID.0271",-112.184962396,33.6431340989,"5830 W GREENBRIAR DR GLENDALE AZ 85308","candidate location"
"FaID.0272",-111.597587932,33.4177186913,"127 N SIGNAL BUTTE RD APACHE JUNCTION AZ 85120","candidate location"
"FaID.0273",-111.842284181,33.4110472941,"505 W 2ND AVE MESA AZ 85210","candidate location"
"FaID.0274",-112.160127915,33.369309702,"4725 W SOUTH MOUNTAIN AVE LAVEEN AZ 85339","candidate location"
"FaID.0275",-112.206784574,33.4225492777,"6807 W LOWER BUCKEYE RD PHOENIX AZ 85043","candidate location"
"FaID.0276",-112.022497508,33.5972371253,"2742 E CACTUS RD PHOENIX AZ 85032","candidate location"
"FaID.0277",-112.187566693,33.5982240894,"5902 W CACTUS RD GLENDALE AZ 85304","candidate location"
"FaID.0278",-111.920625428,33.4931005044,"3939 N DRINKWATER BLVD SCOTTSDALE AZ 85251","candidate location"
"FaID.0279",-112.081221715,33.4445888544,"601 W JACKSON ST PHOENIX AZ 85003","candidate location"
"FaID.0280",-112.028382169,33.3086776262,"2601 E THUNDERHILL PL PHOENIX AZ 85048","candidate location"
"FaID.0281",-112.005514917,33.4807483253,"3546 E THOMAS RD PHOENIX AZ 85018","candidate location"
"FaID.0282",-112.025781178,33.4110492721,"2541 E ILLINI ST PHOENIX AZ 85040","candidate location"
"FaID.0283",-111.893865342,33.4162495447,"1257 S LOLA LN TEMPE AZ 85281","candidate location"
"FaID.0284",-112.364228444,33.5114011481,"14260 S DENNY BLVD LITCHFIELD PARK AZ 85340","candidate location"
"FaID.0285",-112.320469623,33.6145109064,"12101 NW GRAND AVE EL MIRAGE AZ 85335","candidate location"
"FaID.0286",-112.065708233,33.579308196,"10222 N 7TH ST PHOENIX AZ 85020","candidate location"
"FaID.0287",-112.013536213,33.4901162906,"3530 N 32ND ST PHOENIX AZ 85018","candidate location"
"FaID.0288",-112.487111618,33.3777633964,"19900 W OLD US 80 HWY BUCKEYE AZ 85326","candidate location"
"FaID.0289",-112.389762777,33.4295256431,"1933 S BALLPARK WAY GOODYEAR AZ 85338","candidate location"
"FaID.0290",-112.059262782,33.4496521023,"949 E MONROE ST PHOENIX AZ 85034","candidate location"
"FaID.0291",-111.699255079,33.2843822718,"3685 S AUTUMN DR GILBERT AZ 85297","candidate location"
"FaID.0292",-112.059974398,33.4660759329,"1010 E MCDOWELL RD PHOENIX AZ 85006","candidate location"
"FaID.0293",-111.769472062,33.4574738398,"2213 N LINDSAY RD MESA AZ 85213","candidate location"
"FaID.0294",-112.101449769,33.7059090677,"1920 W ALAMEDA RD PHOENIX AZ 85085","candidate location"
"FaID.0295",-112.022582478,33.5964992061,"2727 E CACTUS RD PHOENIX AZ 85032","candidate location"
"FaID.0296",-112.150015396,33.6248099342,"4243 W GREENWAY RD PHOENIX AZ 85053","candidate location"
"FaID.0297",-111.941668762,33.5306804685,"6433 E LINCOLN DR PARADISE VALLEY AZ 85253","candidate location"
"FaID.0298",-111.852932934,33.4308100224,"848 N WESTWOOD MESA AZ 85201","candidate location"
"FaID.0299",-112.141950041,33.5161718518,"3801 W MISSOURI AVE PHOENIX AZ 85019","candidate location"
"FaID.0300",-112.082785374,33.3725049602,"8041 S 7TH AVE PHOENIX AZ 85041","candidate location"
"FaID.0301",-111.834332565,33.4143790298,"20 S MACDONALD MESA AZ 85210","candidate location"
"FaID.0302",-112.077899832,33.6254359656,"325 W CORAL GABLES DR PHOENIX AZ 85023","candidate location"
"FaID.0303",-112.01266504,33.4774458593,"2617 N 32ND ST PHOENIX AZ 85008","candidate location"
"FaID.0304",-111.961014603,33.6227199883,"15014 N 56TH ST SCOTTSDALE AZ 85254","candidate location"
"FaID.0305",-112.193096796,33.6623149409,"6180 W UTOPIA RD GLENDALE AZ 85308","candidate location"
"FaID.0306",-112.399551031,33.4963921388,"4211 N PEBBLE CREEK PKWY GOODYEAR AZ 85395","candidate location"
"FaID.0307",-112.241037713,33.5824525619,"8455 W GRAND AVE PEORIA AZ 85345","candidate location"
"FaID.0308",-111.651158831,33.4670386218,"8326 E MCDOWELL RD MESA AZ 85207","candidate location"
"FaID.0309",-112.272918235,33.6196176622,"14801 N 103RD AVE SUN CITY AZ 85351","candidate location"
"FaID.0310",-112.134589737,33.5925164122,"11650 N 35TH AVE PHOENIX AZ 85029","candidate location"
"FaID.0311",-112.136799497,33.552270962,"3581 W NORTHERN AVE PHOENIX AZ 85051","candidate location"
"FaID.0312",-112.01441153,33.6147313077,"14034 N 32ND ST PHOENIX AZ 85032","candidate location"
"FaID.0313",-112.064892024,33.5762215495,"9835 N 7TH ST PHOENIX AZ 85020","candidate location"
"FaID.0314",-111.886881076,33.3355491521,"2542 W WARNER RD CHANDLER AZ 85224","candidate location"
"FaID.0315",-111.729777888,33.6040703379,"13001 N FOUNTAIN HILLS BLVD FOUNTAIN HILLS AZ 85268","candidate location"
"FaID.0316",-112.17106181,33.2945400082,"5111 W ST JOHNS RD LAVEEN AZ 85339","candidate location"
"FaID.0317",-112.050801493,33.5829554367,"10625 N CAVE CREEK RD PHOENIX AZ 85020","candidate location"
"FaID.0318",-112.169430403,33.5084394562,"4842 N 51ST AVE PHOENIX AZ 85031","candidate location"
"FaID.0319",-112.102534829,33.5476366634,"2011 W MORTEN AVE PHOENIX AZ 85021","candidate location"
"FaID.0320",-112.063509148,33.8712399587,"42425 N NEW RIVER RD PHOENIX AZ 85086","candidate location"
"FaID.0321",-111.962819514,33.3674564732,"8735 S AVENIDA DEL YAQUI GUADALUPE AZ 85283","candidate location"
"FaID.0322",-112.028305426,33.484224011,"2438 E EARLL DR PHOENIX AZ 85016","candidate location"
"FaID.0323",-112.030254412,33.2919608255,"2408 E PECOS RD PHOENIX AZ 85048","candidate location"
"FaID.0324",-111.835494374,33.3054239285,"155 N SACRAMENTO ST CHANDLER AZ 85225","candidate location"
"FaID.0325",-112.34139218,33.4648433135,"1650 N DYSART RD GOODYEAR AZ 85395","candidate location"
"FaID.0326",-111.702808479,33.4437131809,"1534 N RECKER RD MESA AZ 85205","candidate location"
